Name,Category,Difficulty,Pattern Group,Question Link,Sub Category
175. Combine Two Tables,Join,Easy,,https://leetcode.com/problems/combine-two-tables/,Order BY
512. Game Play Analysis II,Subquery,Easy,,https://leetcode.com/problems/game-play-analysis-ii/,Window Function
597. Friend Requests I Overall Acceptance Rate,Subquery,Easy,,https://leetcode.com/problems/friend-requests-i-overall-acceptance-rate,"DISTINCT, IFNULL()"
603. Consecutive Available Seats,Self Join,Easy,,https://leetcode.com/problems/consecutive-available-seats,Lag & Lead
613. Shortest Distance in a Line,Self Join,Easy,,https://leetcode.com/problems/shortest-distance-in-a-line,Window Function
1069. Product Sales Analysis II,Aggregate Function,Easy,,https://leetcode.com/problems/product-sales-analysis-ii,Group BY
1076. Project Employess II,Subquery,Easy,,,"Count, Group BY, Having"
"1082. Sales Analysis I ",Aggregate Function,Easy,,https://leetcode.com/problems/sales-analysis-i,Group BY
1083. Sales Analysis II,Join,Easy,,https://leetcode.com/problems/sales-analysis-ii,"SubQuery, WHERE"
1113. Reported Posts,Aggregate Function,Easy,,https://leetcode.com/problems/reported-posts,WHERE
1132. Reported Posts II,CTE,Easy,,https://leetcode.com/problems/reported-posts-ii,SubQuery
"1142. User Activity for the Past 30 Days II ",Aggregate Function,Easy,,https://leetcode.com/problems/user-activity-for-the-past-30-days-ii,"AND, WHERE"
1173. Immediate Food Delivery I,Aggregate Function,Easy,,https://leetcode.com/problems/immediate-food-delivery-i,Round
1241. Number of Comments per Post,Join,Easy,,https://leetcode.com/problems/number-of-comments-per-post,"Group BY, Order BY"
"1294. Weather Type in Each Country ",Join,Easy,,https://leetcode.com/problems/weather-type-in-each-country,Case
1303. Find the Team Size,Join,Easy,,https://leetcode.com/problems/find-the-team-size,
http://1322.Ads Performance,,Easy,,,
https://leetcode.com/problems/students-with-invalid-departments,Subquery,Easy,,,Left Outer Join
1421. NPV Queries,,Easy,,https://leetcode.com/problems/npv-queries,
